document,TTR,C,R,CTTR,U,S,K,D,Vm,Maas,lgV0,lgeV0,ARI,ARI.simple,ARI.NRI,Bormuth.MC,Bormuth.GP,Coleman,Coleman.C2,Coleman.Liau.ECP,Coleman.Liau.grade,Coleman.Liau.short,Dale.Chall,Dale.Chall.old,Dale.Chall.PSK,Danielson.Bryan,Danielson.Bryan.2,Dickes.Steiwer,DRP,ELF,Farr.Jenkins.Paterson,Flesch,Flesch.PSK,Flesch.Kincaid,FOG,FOG.PSK,FOG.NRI,FORCAST,FORCAST.RGL,Fucks,Linsear.Write,LIW,nWS,nWS.2,nWS.3,nWS.4,RIX,Scrabble,SMOG,SMOG.C,SMOG.simple,SMOG.de,Spache,Spache.old,Strain,Traenkle.Bailer,Traenkle.Bailer.2,Wheeler.Smith,meanSentenceLength,meanWordSyllables,CECR.niveau,W,NDW,NDWC,S.1,VP,C.1,T,DC,CT,CP,CN,MLS,MLT,MLC,C.S,VP.T,C.T,DC.C,DC.T,T.S,CT.T,CP.T,CP.C,CN.T,CN.C
cohort_student11,0.52411575562701,0.887444944224096,9.24288202711701,6.5357045590817,22.1470317067756,0.869268653589489,143.19537639189,0.0111399232444767,0.0904686040239134,0.212491829792127,4.79956971804234,11.0514176855499,9.25576923076923,59.3307692307692,7.99384615384616,-2.73329801560782,52556220.0385304,42.5884615384615,44.4089743589743,44.493241025641,10.8726239860103,10.8733333333333,26.4411282051282,8.86384974358974,7.45465230769231,5.91665344051447,82.0091855948553,-341.07461157985,373.329801560782,5.8,-46.3465,50.5433076923077,6.56494666666667,10.0850256410256,13.8041025641026,6.05816139076923,32.04,10.5769230769231,10.0646153846154,75.8,11.8,38.9974358974359,7.57841615384615,8.12886230769231,7.46050897435897,7.63933435897436,3.65,1.64109406270847,12.9410639471413,12.5355024471828,12.4074438611134,7.40744386111339,5.12224102564103,5.73988205128205,7.77,-376.537829820513,-276.029267435897,58,15.6,1.66025641025641,B1,325,173,133,20,55,40,24,13,10,8,35,16.25,13.5417,8.125,2,2.2917,1.6667,0.325,0.5417,1.2,0.4167,0.3333,0.2,1.4583,0.875
cohort_student12,0.473684210526316,0.864374344995337,7.4445317268166,5.26407886679042,17.6419199831875,0.832936956737508,177.514792899408,0.0137585991244528,0.0959399329942036,0.238082281702369,4.11293723027552,9.47038795485263,6.64333907056798,54.4363166953528,4.14802065404475,-3.1049207212924,77086183.4217643,59.4656626506024,58.4194779116466,60.5240791164659,6.48011022577188,6.48080321285141,34.1776563396443,7.43569954102123,6.46096351118761,5.0367529953917,90.0887271889401,-308.568978310535,410.49207212924,4.28571428571429,-48.3558012048193,77.0017771084337,5.1926759609868,6.93759323006311,9.52392426850258,5.37825939862306,23.3110714285714,8.6144578313253,7.90590361445783,72.4285714285714,4.28571428571429,32.2435456110155,3.80351038439472,4.61974589787722,4.05871833046472,4.68389776247849,2.57142857142857,1.73835480673935,9.04235418022936,8.96546171059736,8.66946709513841,3.66946709513841,4.88577022375215,5.52268932874355,7.05,-339.40191340218,-196.066807068273,42.8571428571429,17.7857142857143,1.32128514056225,B1,250,125,105,15,46,36,18,17,10,1,25,16.6667,13.8889,6.9444,2.4,2.5556,2,0.4722,0.9444,1.2,0.5556,0.0556,0.0278,1.3889,0.6944
cohort_student13,0.494809688581315,0.87583320201979,8.41176470588235,5.94801586527508,19.8192905252238,0.852775403999649,161.037343901534,0.0126874279123414,0.0954501304197453,0.224623892084575,4.46596320215213,10.2832602951354,6.80799672190858,54.6361318521217,4.96794755053724,-2.61805154865677,46156340.2241009,51.7160899653979,52.8596885813149,54.935424567474,8.01142392681384,8.01204152249135,35.7538717902021,7.34132272810053,6.33187885631033,5.24259429824561,86.7932359649123,-299.785141351302,361.805154865677,4.57894736842105,-45.838044072118,65.5208832635222,5.75037514114005,7.89919868876343,11.4821344017483,5.42048824177745,26.4113157894737,9.51557093425606,8.89712802768166,66.6315789473684,8.21052631578947,34.2416681843016,5.40463598615917,6.09847627026043,5.78171737388454,6.0498915680204,2.89473684210526,1.67460317460317,11.3137561513474,11.0276689237844,10.847225456709,5.84722545670895,4.51400655618284,5.09648697869241,6.78947368421053,-335.364372449463,-232.064649965398,45.7894736842105,15.2105263157895,1.4878892733564,B2,293,150,128,19,41,36,21,12,9,7,31,15.4211,13.9524,8.1389,1.8947,1.9524,1.7143,0.3333,0.5714,1.1053,0.4286,0.3333,0.1944,1.4762,0.8611
cohort_student14,0.582222222222222,0.900130529562725,8.73333333333333,6.17539922236251,23.5525682454549,0.876990381584742,179.160493827161,0.013531746031746,0.101402473325144,0.206053912192026,4.86035977901513,11.1913919737481,10.6629485116653,62.2401448109413,8.61464199517297,-3.695290748512,129965944.120618,43.7446902654867,43.1650442477876,47.681782300885,9.99895092242832,9.99982300884955,26.7041673370877,8.49825366049879,7.30254979887369,6.06334193939394,84.6783806060606,-389.598804968052,469.5290748512,7.45454545454545,-51.3518045052293,45.6052574416734,6.94531512469831,12.0023732904264,16.1827835880933,7.48732599903459,30.9618181818182,10.4424778761062,9.91672566371681,95.1818181818182,16.3636363636364,46.65164923572,8.57635044247788,9.16864810941271,8.69928785197104,9.22758954143202,5.36363636363636,1.65421455938697,14.68369825823,14.165326806623,14.0782341881399,9.07823418813995,5.53969026548673,6.24741351568785,10.2272727272727,-427.526567385358,-263.422476238938,74.5454545454545,20.5454545454545,1.65929203539823,B1,227,137,113,12,30,22,13,8,7,2,30,18.9167,17.4615,10.3182,1.8333,2.3077,1.6923,0.3636,0.6154,1.0833,0.5385,0.1538,0.0909,2.3077,1.3636
cohort_student15,0.507299270072993,0.879095192485447,8.39729709728946,5.93778572113149,20.1625610505766,0.855385924170711,195.535191006447,0.0159621400497313,0.111172273955012,0.222703556331818,4.49602787027182,10.3524867517737,10.478296969697,61.9930303030303,7.81757575757576,-4.13642183927812,182239177.663432,54.8990909090909,52.45,53.3809305454546,8.43736150682327,8.43825454545454,27.4602272727273,8.21825757575758,7.15303333333333,5.84068321167883,87.8264678832117,-394.399352656492,513.642183927812,6.33333333333333,-53.6203221212121,57.7513106060606,6.34710757575758,10.8973181818182,14.5484848484849,7.48996810606061,38.4895833333333,9.14545454545454,8.49,99.5,12.3333333333333,39.6439393939394,6.25946666666667,7.02118333333333,7.23780681818182,8.08559393939394,3.83333333333333,1.75398824517212,13.1603527881616,12.7398849367051,12.6176920308357,7.61769203083567,5.48937121212121,6.22806818181818,10.225,-425.001246787879,-223.9080304,63.3333333333333,22.9166666666667,1.48727272727273,A2,277,147,117,12,32,24,14,11,9,6,37,23.0833,19.7857,11.5417,2,2.2857,1.7143,0.4583,0.7857,1.1667,0.6429,0.4286,0.25,2.6429,1.5417
cohort_student16,0.642105263157895,0.902719586415625,6.25846794771944,4.42540512567107,20.3301315487674,0.849924721407572,289.196675900277,0.0185890257558791,0.111920619043485,0.221783843549738,4.14971589271951,9.55507395473644,10.8267368421053,62.4842105263158,9.18947368421053,-3.40675755970258,101827348.320219,41.6657894736842,41.8815789473684,43.8424684210526,11.0509382827579,11.0517894736842,25.89,8.73416315789474,7.43907368421053,6.23573914893617,82.2327285106383,-387.696424,440.675755970258,7.2,-49.8089368421053,42.3942105263158,7.08214210526316,12.0663157894737,15.1789473684211,6.97662945263158,10.945,10.6842105263158,10.1826315789474,91.8,14.4,47.4210526315789,8.71569473684211,9.27795789473684,8.11920526315789,8.55255789473684,5.4,1.65789473684211,13.968273953766,13.4947636085968,13.3923048454133,8.39230484541326,5.28852631578947,5.96221052631579,9.78,-427.614112631579,-288.652928526316,72,19,1.71578947368421,B1,98,62,48,5,11,8,5,3,2,2,14,19.6,19.6,12.25,1.6,2.2,1.6,0.375,0.6,1,0.4,0.4,0.25,2.8,1.75
cohort_student17,0.512048192771084,0.88469923000065,9.32996209912368,6.59727946850383,21.8657523598345,0.867517936229243,151.3282043838,0.0121573908928766,0.0961793506798812,0.213854201661624,4.78470483609332,11.017190029965,5.35479712595097,51.7193575655114,3.86052409129332,-1.98554030845428,19987986.6970915,51.6210059171598,55.3044378698225,56.2514094674556,7.65083880027928,7.65124260355029,27.0020752324598,9.00027244294167,7.47216010143702,5.00499158541755,86.2983912886816,-263.010626330597,298.554030845428,3.64285714285714,-42.6530384615385,69.6848668639054,5.45356483516484,6.53856720202874,10.5090448013525,4.64537847827557,24.695,9.52662721893491,8.9092899408284,53.1785714285714,6.85714285714286,34.2607776838546,5.09999966187659,5.79813026204565,5.39301779374472,5.40997616229924,2.67857142857143,1.6788370520622,10.6088406372146,10.3808786751884,10.1713716560064,5.17137165600636,5.24922865595943,5.82331994928149,5.34642857142857,-294.645748571429,-224.245062159763,36.4285714285714,12.0714285714286,1.47633136094675,C2,339,186,144,27,47,38,28,8,7,8,40,12.5556,12.1071,8.9211,1.4074,1.6786,1.3571,0.2105,0.2857,1.037,0.25,0.2857,0.2105,1.4286,1.0526
cohort_student18,0.710144927536232,0.919159755165585,5.89890680120269,4.17115700071787,22.7467036313876,0.861615798951825,275.152278932997,0.0132139812446718,0.0843034081635708,0.209672158152278,4.29109091620077,9.88060197632605,2.88465838509317,46.9006211180124,1.23850931677019,-1.51483426385434,8650492.67302675,41.9413043478261,49.354347826087,64.4707144927536,5.39871634612754,5.39884057971015,39.3000207039337,7.10034182194617,6.03077267080745,4.50967983193277,88.5611445378151,-223.969792919255,251.483426385434,3.71428571428571,-40.5255217391304,68.0908695652174,5.48789875776398,6.21080745341615,7.42111801242236,3.50785051677019,2.49214285714286,10.6521739130435,10.1473913043478,40.5714285714286,3.42857142857143,22.9006211180124,2.67354906832298,3.0120149068323,3.33990745341615,3.31114409937888,1.28571428571429,1.8220640569395,8.41807532609106,8.41378820303801,8.0709255283711,3.0709255283711,3.63432298136646,4.09842236024845,4.5,-248.908656770186,-207.636206666667,37.1428571428571,9.85714285714286,1.52173913043478,A1,72,52,36,7,8,7,7,1,0,2,5,10.2857,10.2857,10.2857,1,1.1429,1,0.1429,0.1429,1,0,0.2857,0.2857,0.7143,0.7143
cohort_student19,0.467567567567568,0.871444825441762,8.99384173694363,6.35960648111144,19.9774278467768,0.854111683682865,135.573411249087,0.0108840547864938,0.0881872683787147,0.22373308683067,4.56284518483026,10.5063393042298,8.41730883813307,57.9036742800397,5.99543197616683,-3.46578607836645,107243171.115337,53.3451482479784,52.1739892183288,55.8657194070081,7.75651941960216,7.75730458221024,38.4918016739963,6.60535566747056,5.89417596822244,5.44071553342817,88.3612025604552,-344.142462995062,446.578607836645,5.63157894736842,-50.1983776422187,67.5268406866222,5.74266246276068,8.69157043552277,11.7997446446304,6.23516852994751,41.946052631579,9.32614555256065,8.68876010781671,83.2631578947368,7.78947368421052,37.3160732018726,5.27888355795148,5.98567672010214,5.56037663498368,6.22979324726912,3.47368421052632,1.70648030495553,11.1011313398914,10.8320843591548,10.6433665770771,5.64336657707708,4.85618555823521,5.51619974464463,8.27368421052632,-379.826315409278,-220.859669218329,56.3157894736842,19.5263157894737,1.41239892183288,C2,377,183,154,19,55,37,21,14,10,12,35,19.8421,17.9524,10.1892,1.9474,2.619,1.7619,0.3784,0.6667,1.1053,0.4762,0.5714,0.3243,1.6667,0.9459
cohort_student20,0.572052401746725,0.897211399481285,8.65672366596168,6.12122800705957,22.9581439034208,0.873672497873037,152.361701721935,0.0109170305676856,0.0871927886119831,0.208704403831184,4.79453143541243,11.039816611072,10.2219286754003,61.3322416302766,8.39927219796215,-3.41289594792621,102395054.550013,48.3010917030568,47.814192139738,46.7630231441048,10.2506946064227,10.2515283842795,29.6752947598253,8.09958355167394,6.97683740902475,6.01855175438596,83.9315657894737,-375.215949745269,441.289594792621,6.25,-49.8112732896652,56.6863773653566,6.3154077874818,10.0935480349345,13.2228529839884,6.5096522007278,26.4570833333333,9.91266375545852,9.33393013100437,89.5833333333333,10.6666666666667,41.3540756914119,6.89852809315866,7.55221404657933,6.66141168122271,7.20994381368268,4.25,1.66480446927374,12.4579756021291,12.0861370950527,11.9442719099992,6.94427190999916,5.43882569141194,6.12101637554585,8.85,-400.02682588064,-248.472423799127,62.5,19.0833333333333,1.54585152838428,B1,232,139,118,12,33,29,13,12,8,5,21,19.3333,17.8462,8,2.4167,2.5385,2.2308,0.4138,0.9231,1.0833,0.6154,0.3846,0.1724,1.6154,0.7241
cohort_student21,0.470175438596491,0.866492556420626,7.93747496197184,5.61264237110872,18.3873257864385,0.840432497517185,167.559248999692,0.0132937978749691,0.0964014436240715,0.233206534086635,4.26111265413622,9.81157447698234,16.9782807017544,74.8035087719298,14.0245614035088,-5.86715040638685,519209957.452327,38.4973684210526,35.9166666666667,42.3974221052632,11.4468867534695,11.448,13.8166666666667,9.9164649122807,8.5992701754386,7.3235269170579,84.1541086071987,-535.424730070175,686.715040638685,12.7777777777778,-62.7048771929825,33.099649122807,7.8760298245614,16.5094736842105,19.4035087719298,10.1776104912281,58.825,11.0526315789474,10.5878947368421,151.777777777778,21.3333333333333,62.1929824561404,10.6430350877193,11.1304912280702,9.90841578947369,11.3391403508772,9.66666666666667,1.64343360234776,16.3221223982225,15.706749253055,15.6491106406735,10.6491106406735,7.45417543859649,8.4120701754386,15.9,-572.318848070175,-273.409694877193,127.777777777778,31.6666666666667,1.67368421052632,B2,288,139,118,9,40,32,17,13,11,4,37,32,16.9412,9,3.5556,2.3529,1.8824,0.4062,0.7647,1.8889,0.6471,0.2353,0.125,2.1765,1.1562
cohort_student22,0.698412698412698,0.92578077552565,7.83966309609778,5.54347893746867,28.2995485333242,0.896083568293249,199.042579994961,0.0120634920634921,0.0924154837452022,0.18797939451214,5.14330700093574,11.8429020290466,6.61477272727273,54.1772727272727,5.19818181818182,-2.2265519919414,28281737.9479089,44.6181818181818,47.9590909090909,52.3170166666667,8.72887816526666,8.72939393939394,28.2632121212121,8.71720484848485,7.29142,5.31482167938931,84.6771232061069,-297.300345408369,322.65519919414,4.7,-43.8853409090909,60.1279090909091,5.99375696969697,8.15193939393939,11.0375757575758,4.96800315636364,9.72,10.3409090909091,9.805,60.1,7.6,38.2,6.43317636363637,7.01078545454545,5.66512424242424,5.76261696969697,3.3,1.77624784853701,11.0035773159874,10.7424842629882,10.5498344352707,5.54983443527075,5.11377575757576,5.6971696969697,6.24,-322.888108090909,-242.400947651515,47,13.2,1.57575757575758,C1,133,97,79,10,19,16,12,4,4,2,10,13.3,11.0833,8.3125,1.6,1.5833,1.3333,0.25,0.3333,1.2,0.3333,0.1667,0.125,0.8333,0.625
cohort_student23,0.510121457489879,0.877825560924523,8.0171880134948,5.66900801038968,19.584267964443,0.850637067835889,209.313379993116,0.0169513840887397,0.113994868581018,0.225967680961615,4.38508604083439,10.0970337491216,13.5066788856305,67.7631964809384,11.7633431085044,-4.11349353631296,179230251.463876,43.2153225806452,42.05,38.8154193548387,12.4283698350968,12.4293548387097,12.0525073313783,10.803343255132,9.03530425219941,6.81974637467795,80.9749362532204,-439.704236452681,511.349353631296,8.27272727272727,-53.388366202346,40.6771700879765,7.25678152492669,13.1865982404692,17.566568914956,8.16906438944282,38.4054545454545,10.5040322580645,9.98443548387097,113.272727272727,19.2727272727273,47.9486803519062,9.40512419354839,10.0081454545455,9.51272683284457,10.1592662756598,5.72727272727273,1.69453376205788,15.6687821403821,15.0912574649114,15.0227057913539,10.0227057913539,6.75958064516129,7.55500586510264,11.4545454545455,-471.132837859237,-283.983896532258,82.7272727272727,22.5454545454545,1.69354838709677,B1,248,133,102,11,29,20,13,7,6,10,30,22.5455,19.0769,12.4,1.8182,2.2308,1.5385,0.35,0.5385,1.1818,0.4615,0.7692,0.5,2.3077,1.5
